Fræ_asvi_;Deild;Stuttfagnúmer;Fagheiti;Dagsetning;Sta_nemar;Heildarfjöldi;Tegund lokaprófs
4;41;_RS310G;Óhef_bundnar tjáskiptalei_ir í starfi me_ fötlu_u fólki;02/12/16 13:30;43;43;Heimapróf
4;42;GSS301F;Nám og kennsla: Fagmennska í starfi;02/12/16 13:30;87;87;Munnlegt
5;56;BYG115F;Steinsteypuvirki 2;02/12/16 13:30;7;7;Skriflegt
3;33;ÍSE001G;Sjálfsnám í íslensku I;02/12/16 13:30;129;129;Skriflegt
2;25;SÁL103G;Almenn sálfræ_i;02/12/16 13:30;256;256;Skriflegt
5;55;EFN513M;Ólífræn efnafræ_i 3;02/12/16 13:30;6;6;Munnlegt
2;21;HJÚ148F;Sjúkdómami_u_ lífe_lisfræ_i;02/12/16 13:30;27;27;Skriflegt
1;13;HAG105G;Línuleg algebra B;02/12/16 13:30;49;49;Skriflegt
1;16;VI_101G;Inngangur a_ marka_sfræ_i;02/12/16 13:30;292;292;Skriflegt
5;55;STÆ106G;Línuleg algebra A;02/12/16 13:30;67;67;Skriflegt
3;31;ENS110G;Breskar bókmenntir I;02/12/16 13:30;82;82;Próf í tölvuveri
2;21;HJÚ309G;Lífe_lisfræ_i II;02/12/16 13:30;78;78;Skriflegt
5;55;STÆ107G;Línuleg algebra;02/12/16 13:30;268;268;Skriflegt
4;43;STM022F;Hagn_t matsfræ_i í skólum, uppeldisstarfi og heilbrig_is_jónustu;02/12/16 23:59;16;16;Verkefnaskil
1;16;VI_503G;Fjármálagerningar;05/12/16 09:00;110;110;Próf í tölvuveri
1;14;LÖG102F;Félagaréttur I;05/12/16 09:00;80;80;Skriflegt
2;23;LÆK307G;Lyfjafræ_i II Ta;05/12/16 09:00;7;7;Skriflegt
4;42;GSS0AZG;Átakasvæ_i í heiminum – áskoranir fjölmenningar;05/12/16 09:00;18;18;Skriflegt
1;16;VI_108F;_ættir í tölfræ_i;05/12/16 09:00;21;21;Skriflegt
2;23;LEI108G;Lífe_lisfræ_i 1;05/12/16 09:00;98;98;Skriflegt
3;31;ENS103G;Bresk menningarsaga;05/12/16 09:00;105;105;Skriflegt
1;12;FRG102G;Kenningar um mannlega heg_un, ytri og innri mótunar_ættir;05/12/16 09:00;65;65;Skriflegt
5;51;HBV501G;Hugbúna_arverkefni 1;05/12/16 09:00;108;108;Skriflegt
5;55;STÆ304G;Stær_fræ_igreining IIIA;05/12/16 09:00;16;16;Skriflegt
5;55;LEF302G;Lífefnafræ_i 1;05/12/16 09:00;61;61;Skriflegt
2;24;NÆR304G;A_fer_ir í næringarfræ_i II;05/12/16 09:00;11;11;Skriflegt
5;55;STÆ104G;Stær_fræ_igreining I;05/12/16 09:00;316;316;Skriflegt
4;42;GSS363G;Heimspeki og hugmyndasaga menntunar;05/12/16 09:00;31;31;Verkefnaskil
4;41;Í_H320G;Knattspyrna og blak;05/12/16 09:00;16;16;Verkefnaskil
4;41;Í_H503G;Næring, heilsa og _jálfun;05/12/16 09:00;13;13;Skriflegt
1;15;ASK110F;Stofnanir og ákvar_anataka Evrópusambandsins;05/12/16 09:00;14;14;Skriflegt
3;31;__S104G;__sk hljó_fræ_i og frambur_ur;05/12/16 09:00;8;8;Skriflegt
1;11;FÉL309G;Afbrotafræ_i;05/12/16 09:00;110;110;Skriflegt
3;31;ÍTA112G;Ítalskt mál I og hljó_fræ_i;05/12/16 09:00;17;17;Skriflegt
2;21;HJÚ701G;Barneignir og fjölskyldan;05/12/16 13:30;82;82;Skriflegt
5;51;I_N113F;Tímara_agreining;05/12/16 13:30;22;22;Skriflegt
3;31;RÚS106G;Saga og menning;05/12/16 13:30;17;17;Skriflegt
2;23;SJÚ509G;Heilsusálfræ_i og ge_sjúkra_jálfun;05/12/16 13:30;30;30;Skriflegt
2;23;SJÚ107G;Frumulífe_lisfræ_i;05/12/16 13:30;38;38;Skriflegt
3;33;TÁK302G;Færninámskei_ III;05/12/16 13:30;5;5;Próf í tölvuveri
3;31;SPÆ107G;Menning, _jó_líf og saga Spánar;05/12/16 13:30;20;20;Skriflegt
5;56;UMV101M;Mat á umhverfisáhrifum 1;05/12/16 13:30;33;33;Skriflegt
1;13;HAG512M;Atvinnuvegahagfræ_i;05/12/16 13:30;9;9;Skriflegt
3;33;LIS102G;Íslensk myndlist 1870-1970;05/12/16 13:30;23;23;Skriflegt
5;55;E_L520M;E_lisfræ_i _éttefnis 1;05/12/16 13:30;12;12;Skriflegt
3;34;HSP107G;Stjórnmál og samfélag;05/12/16 13:30;41;41;Skriflegt
3;33;ÍSE305G;Hljó_- og hljó_kerfisfræ_i;05/12/16 13:30;33;33;Skriflegt
1;14;LÖG504G;Kröfuréttur I;05/12/16 13:30;84;84;Próf í tölvuveri
3;31;JAP102G;Japanskt ritmál I;05/12/16 13:30;22;22;Skriflegt
1;15;STJ303M;The Power Potential of Small States in the European Union;05/12/16 13:30;29;29;Skriflegt
3;31;JAP304G;Japanskur frambur_ur og skilningur á tölu_u máli III;05/12/16 13:30;12;12;Skriflegt
3;33;ABF305G;Stefnur í bókmenntafræ_i;05/12/16 13:30;13;13;Skriflegt
1;15;STJ317G;Evrópusamruni;05/12/16 13:30;46;46;Skriflegt
1;15;OSS101F;Rekstrarhagfræ_i, marka_sbrestir og ríkisafskipti;05/12/16 13:30;37;37;Skriflegt
5;56;BYG101M;Álag og öryggi bur_arvirkja;05/12/16 13:30;10;10;Skriflegt
1;16;VI_509G;Inngangur a_ mannau_sstjórnun;05/12/16 13:30;107;107;Skriflegt
3;33;TÁK102G;Færninámskei_ I;05/12/16 13:30;9;9;Próf í tölvuveri
5;53;LAN107G;Náttúra Íslands;05/12/16 13:30;89;89;Skriflegt
3;33;ÍSL111G;Bókmenntafræ_i;05/12/16 13:30;42;42;Skriflegt
2;24;NÆR101G;Inngangur a_ næringarfræ_i;05/12/16 13:30;22;22;Skriflegt
5;53;LAN305G;Hnattvæ_ing efnahagslífsins;05/12/16 13:30;30;30;Skriflegt
4;42;LSS302G;Umhverfi sem uppspretta náms;05/12/16 13:30;42;42;Skriflegt
2;24;NÆR501M;Næringarme_fer_ og sjúkdómafræ_i I;05/12/16 13:30;9;9;Skriflegt
2;22;LYF102G;Frumulífe_lisfræ_i;05/12/16 13:30;76;76;Skriflegt og Verklegt
1;14;LÖG146F;Opinbert marka_seftirlit;06/12/16 08:00;32;32;Munnlegt
5;52;JAR129F;Líkanreikningar fyrir jöklafræ_ileg verkefni;06/12/16 09:00;10;10;Skriflegt
2;23;GSL103G;Geislae_lisfræ_i 1;06/12/16 09:00;35;35;Skriflegt
2;25;SÁL502G;Saga sálfræ_innar;06/12/16 09:00;63;63;Skriflegt
3;34;SAG036G;Inngangur a_ sögu Íslands;06/12/16 09:00;25;25;Skriflegt
3;31;__S311G;Saga og menning __ska málsvæ_isins;06/12/16 09:00;9;9;Skriflegt
5;51;TÖL301G;Formleg mál og reiknanleiki;06/12/16 09:00;116;116;Skriflegt
1;13;HAG503G;Bankar og peningar;06/12/16 09:00;27;27;Skriflegt
2;23;GSL505G;Segulómun 2;06/12/16 09:00;11;11;Óákve_i_
1;13;HAG101F;Kostna_ar- og nytjagreining;06/12/16 09:00;8;8;Skriflegt
2;23;SJÚ307G;Töl- og a_fer_afræ_i I;06/12/16 09:00;29;29;Skriflegt
1;12;FRG509G;Fötlun og samfélag;06/12/16 09:00;53;53;Skriflegt
2;23;LEI502G;Líffærameinafræ_i - sjúkdómar;06/12/16 09:00;15;15;Skriflegt
3;31;FRA109G;Textar og túlkun;06/12/16 09:00;12;12;Skriflegt
2;21;HJÚ332F;Me_fer_ brá_veikra II;06/12/16 09:00;29;29;Skriflegt
3;33;AMV302M;Merkingarfræ_i sagnor_a;06/12/16 09:00;9;9;Skriflegt
3;32;GFR509M;Trúarlífsuppeldis-og kennslufræ_i;06/12/16 09:00;9;9;Skriflegt
1;11;FÉL321G;Félagsfræ_i fjöldahreyfinga: Grasrótarstarf, mótmæli og byltingar;06/12/16 09:00;16;16;Skriflegt
3;32;GFR062F;Trúarlífsuppeldis-og kennslufræ_i- mag. theol.;06/12/16 09:00;9;9;Skriflegt
3;32;GFR104G;Saga, trú og  bókmenntir og _jó_félag Hebrea í ljósi hli_stæ_na frá nágranna_jó_unum;06/12/16 09:00;5;5;Skriflegt
1;11;UPP103F;_ekkingarmi_lun;06/12/16 09:00;17;17;Skriflegt
4;41;Í_H109G;Líffærafræ_i;06/12/16 09:00;67;67;Skriflegt
5;52;JAR312G;Storkuberg;06/12/16 09:00;25;25;Skriflegt
5;55;STÆ101G;Stær_fræ_igreining IA;06/12/16 09:00;35;35;Skriflegt
1;16;VI_166F;Verkefnastjórnun I;06/12/16 09:00;87;87;Skriflegt
3;31;SPÆ306G;Spænsk málfræ_i III;06/12/16 09:00;4;4;Skriflegt
1;16;VI_305G;Tölfræ_i A;06/12/16 09:00;182;182;Skriflegt
2;22;LYF114F;Ónæmisfræ_i;06/12/16 13:30;23;23;Skriflegt
1;14;LÖG108G;Heimspekileg forspjallsvísindi;06/12/16 13:30;115;115;Próf í tölvuveri
4;42;GSS362G;Félagsfræ_i og saga menntunar;06/12/16 13:30;42;42;Skriflegt
3;33;AMV105G;Mál annarrar ættar I: tyrkneska;06/12/16 13:30;14;14;Skriflegt
5;55;E_L101G;E_lisfræ_i B;06/12/16 13:30;40;40;Skriflegt
5;55;EFN103G;Efnafræ_i 2;06/12/16 13:30;49;49;Skriflegt
2;25;SÁL135F;Sálmeinafræ_i fullor_inna;06/12/16 13:30;21;21;Skriflegt
1;11;NSR007F;Rá_gjafarkenningar;06/12/16 13:30;19;19;Skriflegt
2;24;MAT105G;Var_veislua_fer_ir;06/12/16 13:30;11;11;Skriflegt
1;16;VI_501G;Einstaklingsskattaréttur;06/12/16 13:30;50;50;Próf í tölvuveri
3;31;KÍN102G;Saga Kína I: Frá fornöld til ópíumstrí_a;06/12/16 13:30;17;17;Skriflegt
3;31;DAN307G;Dönsk bókmenntasaga fram til 1900;06/12/16 13:30;5;5;Skriflegt
2;23;SJÚ704G;Í_róttasjúkra_jálfun;06/12/16 13:30;26;26;Skriflegt
2;22;LYF508G;Lyfja- og efnafræ_i náttúruefna I;06/12/16 13:30;37;37;Skriflegt
5;53;FER101G;Inngangur a_ fer_amálafræ_i;06/12/16 13:30;106;106;Skriflegt
5;55;E_L515M;Aflfræ_i ve_urs;06/12/16 13:30;1;1;Skriflegt
3;31;ENS445G;Birtingarmynd IRA í bandarískum bókmenntum og kvikmyndum;06/12/16 13:30;15;15;Heimapróf
2;21;HJÚ505G;Tölfræ_i;06/12/16 13:30;62;62;Skriflegt
4;43;STM301F;Stjórnun og forysta;06/12/16 13:30;29;29;Skriflegt
5;55;STÆ302G;Stær_fræ_igreining III;06/12/16 13:30;187;187;Skriflegt
2;23;TAL101F;Taugalíffærafræ_i fyrir talmeinafræ_i;06/12/16 13:30;15;15;Skriflegt
3;32;GFR212G;Gríska N_ja testamentisins;06/12/16 13:30;12;12;Skriflegt
4;41;Í_H111F;Heilsuefling;06/12/16 13:30;13;13;Skriflegt
4;42;GSS516M;Algebra og strjál stær_fræ_i;06/12/16 13:30;12;12;Skriflegt
1;14;LÖG131F;Íslenskur skattaréttur -sérstakur hluti;07/12/16 08:00;45;45;Munnlegt
1;16;VI_114F;Eignast_ring og ver_lagning;07/12/16 09:00;26;26;Skriflegt
1;12;FRG504G;Samfélagsvinna og notendasamrá_;07/12/16 09:00;68;68;Skriflegt
1;12;FRG109G;Félagsrá_gjöf og íslenskt _jó_félag;07/12/16 09:00;73;73;Skriflegt
5;55;STÆ301G;Tvinnfallagreining I;07/12/16 09:00;14;14;Skriflegt og munnlegt
1;13;HAG301G;Stær_fræ_i III;07/12/16 09:00;22;22;Skriflegt
5;55;E_L102G;E_lisfræ_i 1 V;07/12/16 09:00;248;248;Skriflegt
5;55;EFN112G;Almenn efnafræ_i L;07/12/16 09:00;54;54;Skriflegt
5;55;EFN106G;Efnafræ_i I;07/12/16 09:00;93;93;Skriflegt
1;15;BLF112F;Kenningar í fjölmi_la- og bo_skiptafræ_um;07/12/16 09:00;26;26;Heimapróf
5;55;E_L107G;E_lisfræ_i 1 R;07/12/16 09:00;38;38;Skriflegt
5;53;LÍF513M;Mannerf_afræ_i;07/12/16 09:00;21;21;Skriflegt
5;53;LÍF505M;Vistfræ_i B;07/12/16 09:00;38;38;Skriflegt
1;16;VI_105G;Rekstrarhagfræ_i I;07/12/16 09:00;330;330;Skriflegt
5;51;REI502M;Inngangur a_ gagnanámi;07/12/16 09:00;48;48;Skriflegt
2;23;GSL105G;Almennar röntgenrannsóknir 1;07/12/16 09:00;27;27;Skriflegt
1;11;FÉL403G;Félagsfræ_i atvinnulífs;07/12/16 09:00;11;11;Skriflegt
4;42;LSS501G;Á mótum leik og grunnskóla;07/12/16 09:00;26;26;Skriflegt
2;25;SÁL312G;Vinnusálfræ_i;07/12/16 09:00;33;33;Skriflegt
3;31;JAP303G;Japanskt ritmál III;07/12/16 09:00;14;14;Skriflegt
4;41;Í_H322G;Almenn  kennslufræ_i;07/12/16 09:00;17;17;Skriflegt
4;41;_RS308G;Fötlun og færni;07/12/16 09:00;49;49;Skriflegt
3;34;HSP304G;Inngangur a_ _ekkingarfræ_i;07/12/16 09:00;18;18;Skriflegt
3;31;RÚS308G;Rússnesk málfræ_i V;07/12/16 09:00;8;8;Skriflegt
1;16;VI_506G;Verkefnastjórnun;07/12/16 13:30;115;115;Skriflegt
5;52;JAR504M;Almenn haffræ_i 1;07/12/16 13:30;23;23;Skriflegt
3;31;DET102G;Inngangur a_ erlendum tungumálum I: Vinnulag og a_fer_ir í hugvísindum;07/12/16 13:30;101;101;Skriflegt
2;23;LEI303G;Ónæmisfræ_i;07/12/16 13:30;21;21;Skriflegt
2;23;SJÚ105G;Inngangur a_ sjúkra_jálfun;07/12/16 13:30;39;39;Skriflegt
3;33;ÍSE309G;Samtímabókmenntir og bókmenntafræ_i;07/12/16 13:30;34;34;Skriflegt
1;15;STJ102G;Al_jó_astjórnmál: Inngangur;07/12/16 13:30;79;79;Skriflegt
5;56;UMV502G;Straumfræ_i 1;07/12/16 13:30;12;12;Skriflegt
5;51;I_N501G;Vörustjórnun og framlei_sla;07/12/16 13:30;41;41;Skriflegt
3;33;ÍSE002G;Or_afor_i I;07/12/16 13:30;134;134;Skriflegt
1;11;MAN103G;Inngangur a_ mannfræ_i;07/12/16 13:30;54;54;Skriflegt
1;15;ASK102F;Kenningar í al_jó_asamskiptum;07/12/16 13:30;30;30;Skriflegt
1;15;STJ318G;Bandarísk stjórnmál;07/12/16 13:30;47;47;Skriflegt
4;42;GSS103G;_roska- og námssálarfræ_i;07/12/16 13:30;184;184;Skriflegt
2;25;SÁL102G;Tölfræ_i I;07/12/16 13:30;268;268;Skriflegt
5;56;BYG116F;Jar_tækni og grundun 2;07/12/16 13:30;9;9;Skriflegt
2;23;LÆK025M;Ónæmisfræ_i;07/12/16 13:30;10;10;Skriflegt
1;11;_JÓ104G;Sagnir, ævint_ri og sagnamenn: _jó_sagnafræ_i;07/12/16 13:30;30;30;Skriflegt
5;51;TÖL502G;Tónlist: Fegur_, gervigreind og glundro_i;07/12/16 13:30;49;49;Óákve_i_
1;14;LÖG110F;International Environmental Law and Sustainable Development;08/12/16 08:00;29;29;Munnlegt
2;26;TAN403G;Tannsjúkdómafræ_i;08/12/16 09:00;7;7;Skriflegt
2;25;SÁL501M;A_fer_ir í hagn_tri atferlisgreiningu;08/12/16 09:00;17;17;Skriflegt
1;13;HAG302G;_jó_hagfræ_i II;08/12/16 09:00;57;57;Skriflegt
5;51;TÖL101G;Tölvunarfræ_i 1;08/12/16 09:00;331;331;Skriflegt
2;21;HJÚ108G;Líffærafræ_i;08/12/16 09:00;112;112;Skriflegt
2;23;LÆK314G;Lífefna og sameindalíffræ_i A;08/12/16 09:00;50;50;Skriflegt
5;52;JE_104G;Inngangur a_ jar_e_lisfræ_i;08/12/16 09:00;29;29;Skriflegt
4;43;MVS110F;A_fer_afræ_i rannsókna - eigindleg a_fer_afræ_i;08/12/16 09:00;182;182;Skriflegt
5;55;EFN309G;Lífræn efnafræ_i 1;08/12/16 09:00;97;97;Skriflegt
5;51;TÖL105G;Tölvunarfræ_i 1a;08/12/16 09:00;77;77;Skriflegt
2;26;TAN303G;Örveru- og ónæmisfræ_i II;08/12/16 09:00;7;7;Skriflegt
2;23;LÆK212G;Lífe_lisfræ_i I TN;08/12/16 09:00;18;18;Skriflegt
5;53;LÍF311G;Vistfræ_i;08/12/16 13:30;19;19;Skriflegt
5;51;TÖL306G;Vefforritun;08/12/16 13:30;124;124;Skriflegt
5;52;JAR308G;Setlagafræ_i og setberg;08/12/16 13:30;14;14;Skriflegt
2;21;HJÚ142F;Rekstur og heilbrig_is_jónusta;08/12/16 13:30;11;11;Skriflegt
5;53;LAN104G;Mannvistarlandfræ_i;08/12/16 13:30;118;118;Skriflegt
1;16;VI_102G;Stær_fræ_i A;08/12/16 13:30;262;262;Skriflegt
4;41;Í_H113G;Frjálsí_róttir barna og unglinga;08/12/16 13:30;64;64;Munnlegt og verklegt
4;41;_RS105G;_roskasálfræ_i: Allt æviskei_i_;08/12/16 13:30;110;110;Skriflegt
3;31;GRÍ107G;Heimur forngrikkja;08/12/16 13:30;4;4;Skriflegt
3;31;__S103G;__skt mál I;08/12/16 13:30;11;11;Skriflegt
3;31;ENS506G;_róun sögulegu skáldsögunnar í Bretlandi 1764-1950 (á_ur ENS439G);08/12/16 13:30;21;21;Ekkert lokapróf
5;55;E_L301G;Rafeindatækni fastra efna;08/12/16 13:30;39;39;Skriflegt
3;31;KÍN309G;Kínverskir textar II;08/12/16 13:30;8;8;Skriflegt
1;12;FRG314G;Félagsmálalöggjöf I: Framkvæmd og beiting;08/12/16 13:30;63;63;Próf í tölvuveri
1;11;FFR302M;Lífshlaupi_, sjálf og samfélag;08/12/16 13:30;23;23;Heimapróf
1;11;FÉL308G;Klassískar kenningar í félagsvísindum (Kenningar í félagsvísindum);08/12/16 13:30;42;42;Skriflegt
1;14;LÖG168F;Stjórns_sluréttur III;09/12/16 08:00;72;72;Munnlegt
1;15;ASK103F;Utanríkismál Íslands: Sta_a Íslands í al_jó_asamfélaginu, áskoranir og sóknarfæri;09/12/16 08:00;29;29;Munnlegt
4;42;GSS096G;Nám og kennsla - Inngangur;09/12/16 09:00;72;72;Heimapróf
5;54;RAF505G;Greining raforkukerfa;09/12/16 09:00;6;6;Skriflegt
5;53;LÍF301G;Örveru- og s_klafræ_i;09/12/16 09:00;82;82;Skriflegt
2;26;TSM502G;Fagvitund og heilbrig_is_jónusta;09/12/16 09:00;4;4;Skriflegt
1;15;STJ343G;Sveitarfélög: Stjórnmál nálæg_arinnar;09/12/16 09:00;23;23;Skriflegt
1;11;_JÓ325G;Líkamsmenning: Útlit, heg_un, heilsa;09/12/16 09:00;38;38;Skriflegt
1;16;VI_504G;Ársreikningager_ A;09/12/16 09:00;65;65;Próf í tölvuveri
1;15;BLF113F;Fjölmi_lar: Framlei_sla, notendur og áhrif;09/12/16 09:00;13;13;Heimapróf
1;15;STJ106G;_ættir úr íslenskri stjórnmálasögu;09/12/16 09:00;68;68;Skriflegt
5;56;BYG301G;Samfelldaraflfræ_i 1;09/12/16 09:00;21;21;Skriflegt
1;11;FÉL314G;Fjölmi_lafræ_i: Framlei_sla, notendur og áhrif;09/12/16 09:00;24;24;Heimapróf
2;21;HJÚ703G;Barnasjúkdómafræ_i;09/12/16 09:00;84;84;Skriflegt
1;11;UPP105F;Uppl_singa- og skjalastjórn hjá skipulagsheildum;09/12/16 09:00;26;26;Skriflegt
2;23;SJÚ309G;Félagslegt umhverfi;09/12/16 09:00;28;28;Skriflegt
4;41;Í_H321G;Starfræn líffærafræ_i;09/12/16 09:00;16;16;Munnlegt
1;15;STJ101M;The Icelandic Society and Modern Day Politics: A Country at Crossroads?;09/12/16 09:00;30;30;Skriflegt
3;31;SPÆ101M;Kvikmyndir Spánar;09/12/16 09:00;7;7;Skriflegt
2;22;LYF111G;Inngangur a_ lyfjafræ_i;09/12/16 09:00;58;58;Skriflegt
1;14;LÖG304G;Bótaréttur I;09/12/16 09:00;73;73;Próf í tölvuveri
5;51;I_N503G;Verkefnastjórnun;09/12/16 09:00;103;103;Skriflegt
3;34;SAG306G;Sagnaritun og söguspeki;09/12/16 09:00;38;38;Skriflegt
3;34;HSP310G;Listheimspeki;09/12/16 09:00;36;36;Skriflegt
2;23;LEI401G;Klínísk lífefnafræ_i - sjúkdómafræ_i;09/12/16 09:00;24;24;Skriflegt
2;23;LÆK121G;Líffærafræ_i sj. IA - Almenn;09/12/16 09:00;42;42;Skriflegt
5;55;EFN515M;Lífræn efnafræ_i 3;09/12/16 09:00;14;14;Skriflegt
1;13;HAG109F;Hagfræ_i og stær_fræ_i fjármálamarka_a;09/12/16 09:00;27;27;Skriflegt
2;25;SÁL320G;Persónuleikasálfræ_i;09/12/16 09:00;93;93;Skriflegt
4;42;LSS101G;Leikskólafræ_i I - Leikskólinn sem menntastofnun;09/12/16 09:00;33;33;Skriflegt
5;53;LÍF531M;S_klafræ_i;09/12/16 09:00;15;15;Skriflegt
2;23;LÆK120G;Líffærafræ_i IA - Almenn;09/12/16 09:00;48;48;Skriflegt
3;33;ÍSL321G;Setningar og samhengi;09/12/16 09:00;44;44;Skriflegt
1;16;VI_110F;Marka_sáherslur og marka_shneig_;09/12/16 09:00;29;29;Skriflegt
2;26;TSM304G;Efnisfræ_i I;09/12/16 09:00;4;4;Skriflegt
5;52;JE_502M;Grunnvatnsfræ_i;09/12/16 13:30;26;26;Skriflegt
2;21;HJÚ501G;Hjúkrun langveikra fullor_inna;09/12/16 13:30;65;65;Skriflegt
3;33;ÍSE502G;___ingar;09/12/16 13:30;36;36;Skriflegt
4;42;GSS359G;Algebra og föll;09/12/16 13:30;29;29;Skriflegt
3;31;ÍTA302G;Ítalskar bókmenntir og smásögur;09/12/16 13:30;7;7;Ekkert lokapróf
5;51;TÖL303G;Gagnasafnsfræ_i;09/12/16 13:30;147;147;Skriflegt
4;42;LSS502G;Leikskólafræ_i III - Námskrá, fagmennska og jafnrétti;09/12/16 13:30;21;21;Skriflegt
5;56;BYG503G;Samgönguverkfræ_i;09/12/16 13:30;13;13;Skriflegt
1;16;VI_303G;Utanríkisverslun;09/12/16 13:30;164;164;Skriflegt
5;55;E_L506G;Kjarna- og öreindafræ_i;09/12/16 13:30;13;13;Munnlegt
1;13;HAG101G;Stær_fræ_i I;09/12/16 13:30;58;58;Skriflegt
5;52;JAR101G;Innri öfl jar_ar;09/12/16 13:30;27;27;Skriflegt
2;23;LEI102G;Líffærafræ_i;09/12/16 13:30;102;102;Skriflegt
5;53;LÍF109G;Erf_afræ_i;09/12/16 13:30;119;119;Skriflegt
3;33;ÍSE103G;Íslenskt mál I;09/12/16 13:30;113;113;Skriflegt
5;51;VÉL114F;Jar_varmaver;09/12/16 13:30;17;17;Skriflegt
1;11;FÉL101G;Samtímafélagsfræ_i: Kenningar og vi_fangsefni;09/12/16 13:30;39;39;Skriflegt
5;53;UAU102F;Inngangur a_ umhverfis- og au_lindafræ_i;09/12/16 13:30;39;39;Skriflegt
4;43;UMS301G;Áhættuheg_un og velfer_ ungmenna;09/12/16 13:30;28;28;Skriflegt
3;31;DET101G;Inngangur a_ erlendum tungumálum I: Vinnulag og a_fer_ir í hugvísindum;09/12/16 13:30;50;50;Skriflegt
1;12;FRG103G;Áfengis- og vímuefnamál;09/12/16 13:30;95;95;Skriflegt
3;33;TÁK307G;___ingar I;09/12/16 13:30;3;3;Skriflegt
3;33;TÁK103G;Málfræ_i táknmáls Ia;09/12/16 13:30;6;6;Skriflegt
3;31;ENS101G;E_li tungumálsins I: Hljó_ og or_;09/12/16 13:30;79;79;Próf í tölvuveri
1;14;LÖG132F;Félagsmálaréttur;12/12/16 08:00;17;17;Munnlegt
